DBN,School Name,School Pupil-Teacher Ratio
01M015,P.S. 015 ROBERTO CLEMENTE,9.245573
01M019,P.S. 019 ASHER LEVY,6.971557
01M020,P.S. 020 ANNA SILVER,13.33424
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,10.92817
01M063,THE STAR ACADEMY - P.S.63,10.58844
01M064,P.S. 064 ROBERT SIMON,9.304845
01M110,P.S. 110 FLORENCE NIGHTINGALE,14.72584
01M134,P.S. 134 HENRIETTA SZOLD,9.823008
01M137,P.S. 137 JOHN L. BERNSTEIN,10.09171
01M140,P.S. 140 NATHAN STRAUS,12.44634
01M142,P.S. 142 AMALIA CASTRO,12.37712
01M184,P.S. 184M SHUANG WEN,15.126
01M188,P.S. 188 THE ISLAND SCHOOL,12.65919
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.894736
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",10.31483
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,12.34388
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,9.528298
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7.389223
01M361,THE CHILDREN'S WORKSHOP SCHOOL,12.4947
01M363,NEIGHBORHOOD SCHOOL,12.64847
01M364,EARTH SCHOOL,13.63112
01M378,SCHOOL FOR GLOBAL LEADERS,11.7743
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,13.52
01M450,EAST SIDE COMMUNITY SCHOOL,14.47985
01M458,FORSYTH SATELLITE ACADEMY,16.93144
01M509,MARTA VALLE HIGH SCHOOL,10.92197
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,16.92047
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",19.00173
01M650,CASCADES HIGH SCHOOL,18.62664
01M696,BARD HIGH SCHOOL EARLY COLLEGE,17.49686
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,13.32057
02M001,P.S. 001 ALFRED E. SMITH,11.65984
02M002,P.S. 002 MEYER LONDON,11.70623
02M003,P.S. 003 CHARRETTE SCHOOL,15.6433
02M006,P.S. 006 LILLIE D. BLAKE,17.48943
02M011,P.S. 011 WILLIAM T. HARRIS,15.0206
02M033,P.S. 033 CHELSEA PREP,17.33746
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,16.90727
02M041,P.S. 041 GREENWICH VILLAGE,15.73611
02M042,P.S. 042 BENJAMIN ALTMAN,14.50508
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,10.60917
02M051,P.S. 051 ELIAS HOWE,12.36321
