DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Henry Street School for International Studies,High School,160,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.76,0.73,0.89,0.83,0.91,Developing,Developing,Developing,Proficient,Proficient,3-May-16,2.31,2.09,0.15,0.319,0.013,0.881,0.113,0.225,0.638,0.131,0.225,0.6,0.038,0.9,0.591,0.811,0.524,0.972
01M448,University Neighborhood High School,High School,343,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.91,0.91,0.76,0.95,0.85,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,2015-04-21T00:00:00.000,2.6,2.54,0.137,0.198,0.009,0.771,0.111,0.198,0.548,0.28,0.274,0.414,0.029,6.5,0.577,0.908,0.256,0.966
01M450,East Side Community School,High School,386,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.94,0.84,0.96,0.94,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,2015-05-26T00:00:00.000,2.97,2.93,0.016,0.236,0.005,0.591,0.003,0.057,0.42,0.122,0.21,0.554,0.083,14.8,0.82,0.927,0.198,0.975
01M509,Marta Valle High School,High School,272,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.74,0.69,0.64,0.64,0.82,0.75,Developing,Developing,Developing,Developing,Proficient,2015-01-08T00:00:00.000,2.54,2.24,0.081,0.279,0.063,0.794,0.114,0.154,0.643,0.033,0.423,0.522,0.018,1,0.741,0.803,0.615,0.961
01M539,"New Explorations into Science, Technology and Math",High School,655,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.79,0.65,0.74,0.61,0.9,0.75,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,5-Feb-15,3.72,3.83,0.002,0.06,0,0.278,0.012,0.032,0.232,0.359,0.119,0.179,0.31,1,0.574,0.94,0.146,0.962
01M696,Bard High School Early College,High School,535,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.8,0.83,0.86,0.86,0.87,Well Developed,Proficient,Proficient,Well Developed,Well Developed,18-Mar-16,3.9,3.99,0,0.009,0,0.376,0.006,0.034,0.232,0.228,0.163,0.164,0.424,5.8,0.871,0.942,0.153,0.978
02M047,47 The American Sign Language and English Secondar,High School,186,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.81,0.71,0.85,0.82,0.87,Well Developed,Proficient,Proficient,Well Developed,Well Developed,12-Feb-15,2.65,2.36,0.059,0.237,0.091,0.7,0.059,0.108,0.532,0.016,0.269,0.634,0.065,8,0.684,0.88,0.419,0.988
02M135,The Urban Assembly School for Emergency Management,High School,257,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,,0.81,0.66,0.62,0.73,0.81,0.79,Proficient,Developing,Proficient,Proficient,Proficient,2015-05-11T00:00:00.000,2.57,2.36,0.086,0.218,0.008,0.71,0.062,0.121,0.51,0.07,0.292,0.588,0.039,3,0.682,0.828,0.519,0.964
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,282,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,,0.75,0.84,0.68,0.92,0.83,0.9,Proficient,Proficient,Proficient,Well Developed,Well Developed,19-Dec-14,2.5,2.32,0.067,0.294,0.004,0.714,0.057,0.106,0.539,0.028,0.266,0.628,0.06,3,0.25,0.867,0.432,0.978
02M260,M.S. 260 Clinton School Writers & Artists,High School,93,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,,0.87,0.79,0.76,0.8,0.89,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,3-Mar-15,3.5,3.17,0.011,0.204,0,0.192,0,0.011,0.161,0.151,0.108,0.14,0.548,4.8,0.708,0.951,0.129,0.978
